Propriedade / Método	Descrição
pivot()	Remodelar o DataFrame
pivot_table()	Crie uma tabela dinâmica de planilha como um DataFrame
pop()	Remove um elemento do DataFrame
pow()	Elevar os valores de um DataFrame para os valores de outro DataFrame
prod()	Retorna o produto de todos os valores no eixo especificado
product()	Retorna o produto dos valores no eixo especificado
quantile()	Retorna os valores no quantil especificado do eixo especificado
query()	Consultar o DataFrame
radd()	Adiciona reversamente os valores de um DataFrame com os valores de outro DataFrame
rdiv()	Divide inversamente os valores de um DataFrame pelos valores de outro DataFrame
reindex()	Altere os rótulos do DataFrame
reindex_like()	??
rename()	Alterar os rótulos dos eixos
rename_axis()	Alterar o nome do eixo
reorder_levels()	Reordene os níveis do índice
replace()	Substitua os valores especificados
reset_index()	Redefinir o índice
rfloordiv()	Divide inversamente os valores de um DataFrame pelos valores de outro DataFrame
rmod()	Modula inversamente os valores de um DataFrame para os valores de outro DataFrame
rmul()	Multiplica reversamente os valores de um DataFrame pelos valores de outro DataFrame
round()	Retorna um DataFrame com todos os valores arredondados no formato especificado
rpow()	Aumenta inversamente os valores de um DataFrame até os valores de outro DataFrame
rsub()	Subtrai inversamente os valores de um DataFrame aos valores de outro DataFrame
rtruediv()	Divide inversamente os valores de um DataFrame pelos valores de outro DataFrame
sample()	Retorna elementos de seleção aleatória
sem()	Retorna o erro padrão da média no eixo especificado
select_dtypes()	Retorna um DataFrame com colunas de tipos de dados selecionados
shape	Retorna o número de linhas e colunas do DataFrame
set_axis()	Define o índice do eixo especificado
set_flags()	Retorna um novo DataFrame com os sinalizadores especificados
set_index()	Defina o índice do DataFrame
size	Retorna o número de elementos no DataFrame
skew()	Retorna a inclinação dos valores no eixo especificado
sort_index()	Classifica o DataFrame de acordo com os rótulos
sort_values()	Classifica o DataFrame de acordo com os valores
squeeze()	Converte um DataFrame de coluna única em uma série
stack()	Remodele o DataFrame de uma tabela larga para uma tabela longa
std()	Retorna o desvio padrão dos valores no eixo especificado
sum()	Retorna a soma dos valores no eixo especificado
sub()	Subtrai os valores de um DataFrame com os valores especificados
swaplevel()	Troca os dois níveis especificados
T	Transforma linhas em colunas e colunas em linhas
tail()	Retorna os cabeçalhos e as últimas linhas
take()	Retorna os elementos especificados
to_xarray()	Retorna um objeto xarray
transform()	Execute uma função para cada valor no DataFrame
transpose()	Transforma linhas em colunas e colunas em linhas
truediv()	Divide os valores de um DataFrame com os valores especificados
truncate()	Remove elementos fora de um conjunto especificado de valores
update()	Atualize um DataFrame com os valores de outro DataFrame
value_counts()	Retorna o número de linhas exclusivas
values	Retorna o DataFrame como um array NumPy
var()	Retorna a variação dos valores no eixo especificado
where()	Substitua todos os valores onde a condição especificada for Falsa
xs()	Retorna a seção transversal do DataFrame
__iter__()	Retorna um iterador dos eixos de informação
